"orderid","customer","amount","status","orderdate"
"O0003","Diana","230.68","confirmed","2025-04-21"
"O0063","Diana","305.64","cancelled","2025-04-21"
"O0129","Alice","206.43","shipped","2025-04-21"
"O0014","Charlie","383.52","confirmed","2025-04-21"
"O0030","Alice","157.44","shipped","2025-04-19"
"O0103","Alice","226.29","cancelled","2025-04-19"
"O0197","Diana","186.6","pending","2025-04-19"
"O0168","Eve","312.9","confirmed","2025-04-18"
"O0134","Eve","65.21","pending","2025-04-16"
"O0051","Diana","255.48","pending","2025-04-16"
